Unnamed: 0,번호,제목,저자,출판사,출판일
,432,Big data in nanocomposites: ONN approach and mesh-free method for functionally graded carbon nanotube-reinforced composites,Mostafa Jalal,한국CDE학회,2019
,433,A Study on Exploring Direction for Future Education for the Common Good Based on Big Data,김병만,중소기업융합학회,2022
,434,Research Trend Analysis for Sustainable QR code use - Focus on Big Data Analysis,"Lee, Eunji",Korean Society for Internet Information,2021
,435,Deep Learning-based Evolutionary Recommendation Model for Heterogeneous Big Data Integration,"Yoo, Hyun",Korean Society for Internet Information,2020
,436,Big Data Analysis and Prediction of Traffic in Los Angeles,"Dauletbak, Dalyapraz",Korean Society for Internet Information,2020
,437,Big Data Analysis Methodology for Smart Manufacturing Systems,심현식,한국정밀공학회,2019
,438,Big data Analysis using Python in Agriculture Forestry and Fisheries,김소희,한국인터넷방송통신학회,2016
,439,Big Data Platform of a System Recommendation in Cloud Environment,Jinhong Kim,보안공학연구지원센터,2015
,440,Personal Health Information De-identified Performing Methods in Big Data Environments,Ya-Ri Lee,보안공학연구지원센터,2016
,441,A Different Perspective on the P-value Problem with Big Data,김태윤,계명대학교 자연과학연구소,2020
,442,Big Data Technology In Health and Biomedical Research: A Literature Review,Revati Raman Dewangan,보안공학연구지원센터,2016
,443,A Study on Changes in Foreign Tourists Using Big Data Analysis Method,Jeongwon Lee,ASCONS,2020
,444,Big Data Statistical Analysis of Facial Fractures in Korea,Cheol-Heum Park,대한의학회,2020
,445,Big Data Analysis of Public Acceptance of Nuclear Power in Korea,노승국,한국원자력학회,2017
,446,Big Data Analysis of Public Acceptance of Nuclear Power in Korea,"Roh, Seungkook",Korean Nuclear Society,2017
,447,Implementation of Big Data Analysis System for EMS,Junseok Park,ICT플랫폼학회,2015
,448,A Big Data System Design to Predict the Vehicle Slip,Joohyoung Jeon,제어로봇시스템학회,2015
,449,A Big Data Study on Viewers’ Response and Success Factors in the D2C Era Focused on tvN’s Web-real Variety ‘SinSeoYuGi’ and Naver TV Cast Programming,Sejong Oh,국제문화기술진흥원,2016
,450,"AI, big data, and robots for the evolution of biotechnology","Kim, Haseong",Korea Genome Organization,2019
,451,Optimizing Employment and Learning System Using Big Data and Knowledge Management Based on Deduction Graph,"Vishkaei, Behzad Maleki",Korea Data Strategy Society,2016
,452,"Advanced Big Data Analysis, Artificial Intelligence & Communication Systems",정영식,한국정보처리학회,2019
,453,A Study on Contributor to Sports Development Big Data Research Using Oral Records,"Byun, Jisun",Korea Multimedia Society,2021
,454,Patent Big Data Analysis by R Data Language for Technology Management,Sunghae Jun,보안공학연구지원센터(IJSEIA),2016
,455,Development of Global Fishing Application to Build Big Data on Fish Resources,피수영,한국디지털정책학회,2022
,456,Scalable Big Data Pipeline for Video Stream Analytics Over Commodity Hardware,"Ayub, Umer",Korean Society for Internet Information,2022
,457,An Empirical Analysis on the Design Strategy of Big Data System in the context of Small and Medium-Sized Manufacturing Firms,김지대,한국엔터프라이즈아키텍처학회,2016
,458,A Study on Problem Solution of Culture Tourism Festival Through Big Data  Analysis,Ji Su Hwang,ASCONS,2020
,459,"Advanced Big Data Analysis, Artificial Intelligence & Communication Systems","Jeong, Young-Sik",Korea Information Processing Society,2019
,460,A Study on Contributor to Sports Development Big Data Research Using Oral Records,변지선,한국멀티미디어학회,2021
,461,Scalable Big Data Pipeline for Video Stream Analytics Over Commodity Hardware,Umer Ayub,한국인터넷정보학회,2022
,462,In-memory Distributed Processing Method for Traffic Big Data to Analyze and Share Traffic Events in Real Time among Social Groups,Dojin Choi,보안공학연구지원센터(IJSEIA),2016
,463,Study on Decision-Making Factors of Big Data Application in Enterprises: Using Company S as an Example,"Huang, Yun Kuei",East Asia Business Economics Association,2016
,464,Modelling of a Base Big Data Analysis Using R Method for Selection of Suitable Vertical Farm Sites,Jun-Ho Huh,한국멀티미디어학회,2016
,465,Use of big data analysis to investigate the relationship between natural radiation dose rates and cancer incidences in Republic of Korea,주한영,한국원자력학회,2020
,466,Riding a Bike Not Owned by Me in Bad Air: Big Data Analysis on Bike Sharing,김태경,한국경영정보학회,2019
,467,"Determinants of Satisfaction by Tourists through Big Data Analysis: Focused on Mokpo City as Tourism-Based City, Jeonnam",Hyojin Kim,한국조리학회,2021
,468,Scalable Prediction Models for Airbnb Listing in Spark Big Data Cluster using GPU-accelerated RAPIDS,Samyuktha Muralidharan,한국정보통신학회,2022
,469,Green Mining Algorithm for Big Data Based on Random Matrix,Wang Canwei,보안공학연구지원센터,2016
,470,Scalable Prediction Models for Airbnb Listing in Spark Big Data Cluster using GPU-accelerated RAPIDS,"Muralidharan, Samyuktha",The Korea Institute of Information and Commucation Engineering,2022
,471,Study on Decision-Making Factors of Big Data Application in Enterprises: Using Company S as an Example,Yun Kuei Huang,동아시아경상학회,2016
,472,Healthcare Platform and Big Data Analysis Based Personal Fitness Healthcare Service Model,Long Ri Wen,보안공학연구지원센터,2016
,473,A Study on the Analysis of Museum Gamification Keywords Using Social Media Big Data,전세원,한국인터넷방송통신학회,2021
,474,Recommended Chocolate Applications Based On The Propensity To Consume Dining outside Using Big Data On Social Networks,Tae-gyeong Lee,국제문화기술진흥원,2020
,475,Optimizing Employment and Learning System Using Big Data and Knowledge Management Based on Deduction Graph,Behzad Maleki Vishkaei,한국정보기술응용학회,2016
,476,Use of big data analysis to investigate the relationship between natural radiation dose rates and cancer incidences in Republic of Korea,"Joo, Han Young",Korean Nuclear Society,2020
,477,Correlation Analysis of Atmospheric Pollutants and Meteorological Factors Based on Environmental Big Data,Chen Chao,한국콘텐츠학회,2022
,478,A Study on the Analysis of Museum Gamification Keywords Using Social Media Big Data,"Jeon, Se-won",The Institute of Internet,2021
,479,Study on analyzing Big data related with floating population in Jeju tourism,김근형,한국인터넷전자상거래학회,2016
,480,Positive or negative? Public perceptions of nuclear energy in South Korea: Evidence from Big Data,"Park, Eunil",Korean Nuclear Society,2019
,481,Resource Prediction for Big Data Processing in a Cloud Data Center: A Machine Learning Approach,Alanazi Rayan,대한전자공학회,2018
,482,Study on analyzing Big data related with floating population in Jeju tourism,Keun-Hyung Kim,한국인터넷전자상거래학회,2016
,483,Design and Implementation of Water Quality Management Middleware based on Big Data and Neural Networks,박성훈,한국디지털콘텐츠학회,2021
,484,Automatic Switching of Clustering Methods based on Fuzzy Inference in Bibliographic Big Data Retrieval System,Maslina Zolkepli,한국지능시스템학회,2014
,485,AR Tourism Recommendation System Based on Character-Based Tourism Preference Using Big Data,In-Seon Kim,한국인터넷방송통신학회,2021
,486,Resource Prediction for Big Data Processing in a Cloud Data Center,Alanazi Rayan,대한전자공학회,2018
,487,A Study on Utilizing Big Data in Advertising Strategy,KwangSeok Han,한국전문경영인학회,2016
,488,Marketing Applications of Big Data and Visual Analytics in Neonatal Intensive Care Units in Korea and Beyond,HyoJung Kim,보안공학연구지원센터,2016
,489,Gender difference in colorectal cancer indicators for exercise interventions: the National Health Insurance Sharing Service-Derived Big Data Analysis,Hyunseok Jee,한국운동재활학회,2019
,490,A Study on Big Data Reliable Combination Evaluation Method based on the Cloud Service Qos Model,Li Xiating,보안공학연구지원센터,2016
,491,Automatic Switching of Clustering Methods based on Fuzzy Inference in Bibliographic Big Data Retrieval System,"Zolkepli, Maslina",Korean Institute of Intelligent Systems,2014
,492,A Study of Comparison between Restraunt Industries in Seoul and Busan through Big Data Analytics,Shadiyar Aralbayeva,한국조리학회,2018
,493,Applying a sensor energy supply communication scheme to big data opportunistic networks,"CHEN, Zhigang",Korean Society for Internet Information,2016
,494,Positive or negative? Public perceptions of nuclear energy in South Korea: Evidence from Big Data,박은일,한국원자력학회,2019
,495,An Advanced Operation Mode with Product-Service System Using Lifecycle Big Data and Deep Learning,Shan Ren,한국정밀공학회,2022
,496,A Divided Regression Analysis for Big Data,Sunghae Jun,보안공학연구지원센터,2015
,497,Implementation of a resident night float system in a surgery department in Korea for 6 months: electronic medical record-based big data analysis and medical staff survey,Hyeong Won Yu,대한외과학회,2019
,498,"Analysis of Covid-19, Tourism, Stress Keywords Using Social Network Big Data _Semantic Network Analysis",Su-Hyun Yun,국제문화기술진흥원,2022
,499,Customer Classification and Market Basket Analysis Using K-Means Clustering and Association Rules: Evidence from Distribution Big Data of Korean Retailing Company,리우룬칭,한국지식경영학회,2018
,500,A Study on Customer Feedback by VOC Big Data Analysis of for Travel Agencies,Eun-Jee Song,보안공학연구지원센터,2016
